Energy Source,Unit,Quantity,CO2 Emission (tonnes),Carbon Footprint Value (kg CO2e)
Electricity,kWh,3751.66,0.874137,874.14
Electricity,kWh,9507.64,2.21528,2215.28
Electricity,kWh,7322.62,1.70617,1706.17
Electricity,kWh,5990.6,1.39581,1395.81
Electricity,kWh,1568.63,0.365491,365.49
Electricity,kWh,1568.39,0.365435,365.43
Electricity,kWh,590.26,0.137531,137.53
Electricity,kWh,8663.1,2.018502,2018.5
Electricity,kWh,6015.14,1.401528,1401.53
Electricity,kWh,7083.65,1.65049,1650.49
Electricity,kWh,215.64,0.050244,50.24
Electricity,kWh,9699.4,2.25996,2259.96
Electricity,kWh,8326.1,1.939981,1939.98
Electricity,kWh,2131.27,0.496586,496.59
Electricity,kWh,1826.43,0.425558,425.56
Electricity,kWh,1842.21,0.429235,429.23
Electricity,kWh,3049.38,0.710506,710.51
Electricity,kWh,5252.32,1.223791,1223.79
Electricity,kWh,4325.13,1.007755,1007.76
Electricity,kWh,2919.38,0.680216,680.22
Electricity,kWh,6122.41,1.426522,1426.52
Electricity,kWh,1403.54,0.327025,327.02
Electricity,kWh,2928.53,0.682347,682.35
Electricity,kWh,3669.95,0.855098,855.1
Electricity,kWh,4566.14,1.063911,1063.91
Electricity,kWh,7853.91,1.829961,1829.96
Electricity,kWh,2004.74,0.467104,467.1
Electricity,kWh,5147.2,1.199298,1199.3
Electricity,kWh,5928.22,1.381275,1381.28
Electricity,kWh,474.04,0.110451,110.45
Electricity,kWh,6079.37,1.416493,1416.49
Electricity,kWh,1713.54,0.399255,399.25
Electricity,kWh,659.87,0.15375,153.75
Electricity,kWh,9489.37,2.211023,2211.02
Electricity,kWh,9656.66,2.250002,2250.0
Electricity,kWh,8085.89,1.884012,1884.01
Electricity,kWh,3053.09,0.71137,711.37
Electricity,kWh,985.74,0.229677,229.68
Electricity,kWh,6845.49,1.594999,1595.0
Electricity,kWh,4407.12,1.026859,1026.86
Electricity,kWh,1229.16,0.286394,286.39
Electricity,kWh,4956.82,1.154939,1154.94
Electricity,kWh,353.54,0.082375,82.37
Electricity,kWh,9094.11,2.118928,2118.93
Electricity,kWh,2595.21,0.604684,604.68
Electricity,kWh,6628.6,1.544464,1544.46
Electricity,kWh,3123.99,0.72789,727.89
Electricity,kWh,5205.48,1.212877,1212.88
Electricity,kWh,5471.64,1.274892,1274.89
Electricity,kWh,1856.7,0.432611,432.61
Electricity,kWh,9696.15,2.259203,2259.2
Electricity,kWh,7753.58,1.806584,1806.58
Electricity,kWh,9395.59,2.189172,2189.17
Electricity,kWh,8949.33,2.085194,2085.19
Electricity,kWh,5983.02,1.394044,1394.04
Electricity,kWh,9219.52,2.148148,2148.15
Electricity,kWh,894.04,0.208311,208.31
Electricity,kWh,1967.87,0.458514,458.51
Electricity,kWh,461.82,0.107604,107.6
Electricity,kWh,3260.05,0.759592,759.59
Electricity,kWh,3892.89,0.907043,907.04
Electricity,kWh,2720.78,0.633942,633.94
Electricity,kWh,8289.09,1.931358,1931.36
Electricity,kWh,3573.97,0.832735,832.74
Electricity,kWh,2816.54,0.656254,656.25
Electricity,kWh,5431.53,1.265546,1265.55
Electricity,kWh,1417.83,0.330354,330.35
Electricity,kWh,8023.95,1.86958,1869.58
Electricity,kWh,754.76,0.175859,175.86
Electricity,kWh,9869.0,2.299477,2299.48
Electricity,kWh,7724.73,1.799862,1799.86
Electricity,kWh,1995.17,0.464875,464.87
Electricity,kWh,65.17,0.015185,15.18
Electricity,kWh,8156.46,1.900455,1900.46
Electricity,kWh,7071.5,1.64766,1647.66
Electricity,kWh,7292.78,1.699218,1699.22
Electricity,kWh,7714.99,1.797593,1797.59
Electricity,kWh,749.71,0.174682,174.68
Electricity,kWh,3591.07,0.836719,836.72
Electricity,kWh,1167.53,0.272034,272.03
Electricity,kWh,8632.4,2.011349,2011.35
Electricity,kWh,6236.75,1.453163,1453.16
Electricity,kWh,3315.67,0.772551,772.55
Electricity,kWh,644.95,0.150273,150.27
Electricity,kWh,3116.71,0.726193,726.19
Electricity,kWh,3258.58,0.759249,759.25
Electricity,kWh,7298.77,1.700613,1700.61
Electricity,kWh,6379.2,1.486354,1486.35
Electricity,kWh,8873.26,2.06747,2067.47
Electricity,kWh,4727.43,1.101491,1101.49
Electricity,kWh,1204.75,0.280707,280.71
Electricity,kWh,7135.32,1.66253,1662.53
Electricity,kWh,7610.24,1.773186,1773.19
Electricity,kWh,5617.16,1.308798,1308.8
Electricity,kWh,7711.96,1.796887,1796.89
Electricity,kWh,4943.02,1.151724,1151.72
Electricity,kWh,5232.1,1.219079,1219.08
Electricity,kWh,4281.13,0.997503,997.5
Electricity,kWh,263.94,0.061498,61.5
Electricity,kWh,1087.84,0.253467,253.47
